global_stop_id	parent_station_global_stop_id	location_name	distance	location_type	route_type	stop_lat	stop_lon	stop_name	stop_code	rt_stop_id	wheelchair_boarding
WMATA:107831		Washington, DC	1459	0	3	38.9073856	-77.0423270	Connecticut Av NW / N St NW	1001375	6344	0
WMATA:107832		Washington, DC	1269	0	3	38.9058388	-77.0413830	Connecticut Av NW / M St NW	1001343	6259	0
WMATA:98769		Washington, DC	1433	0	3	38.9058298	-77.0271550	11 St NW / M St NW	1001341	6255	0
WMATA:107850		Washington, DC	1212	0	3	38.9054521	-77.0408070	Connecticut Av NW / M St NW	1001326	6225	0
WMATA:105780		Washington, DC	1443	0	3	38.9052812	-77.0467340	21 St NW / M St NW	1003491	21783	0
WMATA:105061		Washington, DC	1127	0	3	38.9052452	-77.0366520	16 St NW / M St NW	1002881	11784	0
WMATA:114548		Washington, DC	1487	0	3	38.9044718	-77.0240890	9 St NW / L St NW	1003213	27956	0
WMATA:105781		Washington, DC	1331	0	3	38.9039592	-77.0467340	21 St NW / L St NW	1001296	6151	0
WMATA:107893		Washington, DC	1047	0	3	38.9039232	-77.0320930	14 St NW / L St NW	1001294	6149	0
WMATA:107833		Washington, DC	1036	0	3	38.9039232	-77.0402860	Connecticut Av NW / L St NW	1001295	6150	0
WMATA:107906		Washington, DC	1017	0	3	38.9035365	-77.0317870	14 St NW / L St NW	1001279	21963	0
WMATA:107849		Washington, DC	976	0	3	38.9035185	-77.0396650	Connecticut Av NW / L St NW	1001276	21940	0
WMATA:107894		Washington, DC	933	0	3	38.9028261	-77.0320840	14 St NW / K St NW	1001259	6077	0
WMATA:116356		Washington, DC	1038	0	3	38.9028171	-77.0295840	13 St NW / K St NW	1001258	6076	0
WMATA:98783		Washington, DC	1184	0	3	38.9028081	-77.0268950	11 St NW / K St NW	1001264	6083	0
WMATA:115965		Washington, DC	839	0	3	38.9026372	-77.0370390	K St NW / 16 St NW	1001242	20490	0
WMATA:115963		Washington, DC	896	0	3	38.9026102	-77.0325690	K St NW / 14 St NW	1001239	6051	0
WMATA:114313		Washington, DC	839	0	3	38.9026102	-77.0352580	K St NW / 15 St NW	1001244	20491	0
WMATA:115966		Washington, DC	870	0	3	38.9026102	-77.0392330	K St NW / Connecticut Av NW	1001241	20489	0
WMATA:115967		Washington, DC	942	0	3	38.9026102	-77.0414370	K St NW / 18 St NW	1001236	21939	0
WMATA:105786		Washington, DC	818	0	3	38.9024663	-77.0368230	K St NW / 16 St NW	1001226	6035	0
WMATA:99121		Washington, DC	1168	0	3	38.9024573	-77.0267060	K St NW / 11 St NW	1003509	21655	0
WMATA:105785		Washington, DC	867	0	3	38.9024573	-77.0397190	K St NW / 17 St NW	1001229	6040	0
WMATA:107892		Washington, DC	1361	0	3	38.9068910	-77.0320930	14 St NW / N St NW	1001360	6302	0
WMATA:105782		Washington, DC	1117	0	3	38.9024573	-77.0451690	K St NW / 20 St NW	1001213	6021	0
WMATA:105784		Washington, DC	949	0	3	38.9024483	-77.0419940	K St NW / 18 St NW	1001214	6023	0
WMATA:105783		Washington, DC	1033	0	3	38.9024483	-77.0437030	K St NW / 19 St NW	1001219	6028	0
WMATA:105697		Washington, DC	1404	0	3	38.9059107	-77.0447820	20 St NW / M St NW	1001347	6267	0
WMATA:98890		Washington, DC	987	0	3	38.9024393	-77.0299070	K St NW / 13 St NW	1001220	6029	0
WMATA:116400		Washington, DC	843	0	3	38.9023314	-77.0393320	17 St NW / K St NW	1001212	28080	0
WMATA:100549		Washington, DC	889	0	3	38.9022865	-77.0318140	14 St NW / K St NW	1001209	21962	0
WMATA:97693		Washington, DC	1316	0	3	38.9021695	-77.0485770	Pennsylvania Av NW / 22 St NW	1001202	5996	0
WMATA:99115		Washington, DC	1280	0	3	38.9020976	-77.0246010	New York Av NW / 9 St NW	1003660	17171	0
WMATA:105787		Washington, DC	827	0	3	38.9024573	-77.0348180	K St NW / 15 St NW	1001221	6030	0
WMATA:97702		Washington, DC	1333	0	3	38.9019987	-77.0489730	Pennsylvania Av NW / 22 St NW	1001198	5988	0
WMATA:99123		Washington, DC	1493	0	3	38.9019447	-77.0215080	Massachussets Av NW / 7 Av NW	1003818	21654	0
WMATA:98856		Washington, DC	1467	0	3	38.9018818	-77.0218220	7 St NW / Massachusetts Av NW	1001195	5980	0
WMATA:116234		Washington, DC	918	0	3	38.9015760	-77.0297630	13 St NW / I St NW	1001190	18198	0
WMATA:121821		Washington, DC	1154	0	3	38.9054880	-77.0364270	16 St NW / M St NW	1001325	28234	0
WMATA:121829		Washington, DC	941	0	3	38.9035725	-77.0363820	16 St NW / L St NW	1002911	28235	0
WMATA:99261		Washington, DC	737	0	3	38.9015220	-77.0386040	17 St NW / I St NW	1001193	5968	0
WMATA:98772		Washington, DC	1067	0	3	38.9015130	-77.0271730	11 St NW / I St NW	1003466	16861	0
WMATA:99254		Washington, DC	1277	0	3	38.9014861	-77.0240800	9 St NW / New York Av NW	1003527	18695	0
WMATA:117441		Washington, DC	888	0	3	38.9014411	-77.0300870	Franklin Square / Bay A	1001187	5953	0
WMATA:115506		Washington, DC	965	0	3	38.9024393	-77.0303750	K St NW / 13 St NW	1003944	27939	0
WMATA:97689		Washington, DC	724	0	3	38.9014411	-77.0343590	I St NW / 15 St NW	1001185	5948	0
WMATA:107629		Washington, DC	831	0	3	38.9014141	-77.0415450	I St NW / 18 St NW	1001181	28077	0
WMATA:97691		Washington, DC	954	0	3	38.9014051	-77.0438650	I St NW / 19 St NW	1001176	28076	0
WMATA:97703		Washington, DC	1133	0	3	38.9012432	-77.0468240	Pennsylvania Av NW / 21 St NW	1001182	5943	0
WMATA:98889		Washington, DC	892	0	3	38.9024483	-77.0321830	K St NW / 14 St NW	1001222	6031	0
WMATA:108310		Washington, DC	722	0	3	38.9011983	-77.0393140	17 St NW / I St NW	1003663	18071	0
WMATA:115900		Washington, DC	812	0	3	38.9011803	-77.0415990	18 St NW / I St NW	1001174	5924	0
WMATA:115961		Washington, DC	896	0	3	38.9011084	-77.0294400	13 St NW / I St NW	1001175	5925	0
WMATA:115962		Washington, DC	988	0	3	38.9026102	-77.0302310	K St NW / 13 St NW	1001231	6043	0
WMATA:115911		Washington, DC	898	0	3	38.9009555	-77.0435410	19 St NW / I St NW	1001171	5918	0
WMATA:107999		Washington, DC	1051	0	3	38.8877175	-77.0287920	Independence Av SW / 12 St SW	1000742	4945	0
WMATA:105792		Washington, DC	685	0	3	38.8985273	-77.0297630	13 St NW / G St NW	1001085	5746	0
WMATA:107907		Washington, DC	1387	0	3	38.9070708	-77.0318140	14 St NW / N St NW	1001362	18196	0
WMATA:98851		Washington, DC	1313	0	3	38.8918723	-77.0217690	7 St NW / Constitution Av NW	1000846	5205	0
WMATA:97708		Washington, DC	361	0	3	38.8953977	-77.0322010	Pennsylvania Av NW / 14 St NW	1000985	5492	0
WMATA:97687		Washington, DC	410	0	3	38.8956405	-77.0316700	Pennsylvania Av NW / 14 St NW	1000993	16684	0
WMATA:120165		Washington, DC	624	0	3	38.8949300	-77.0435770	19 St NW / E St NW	1000975	28143	0
WMATA:115426		Washington, DC	463	0	3	38.8942465	-77.0416080	18 St NW / D St NW	1000942	5396	0
WMATA:120166		Washington, DC	642	0	3	38.8938418	-77.0436040	19 St NW / Virginia Av NW	1000934	28142	0
WMATA:116350		Washington, DC	567	0	3	38.8919623	-77.0312020	Constitution Av NW / 14 St NW	1000859	5232	0
WMATA:115901		Washington, DC	921	0	3	38.9023224	-77.0415990	18 St NW / K St NW	1001210	6012	0
WMATA:97688		Washington, DC	379	0	3	38.8976819	-77.0334870	15 St NW / F St NW	1001060	5670	0
WMATA:107663		Washington, DC	924	0	3	38.8936530	-77.0258420	10 St NW / Pennsylvania Av NW	1003288	13752	0
WMATA:97710		Washington, DC	971	0	3	38.8940757	-77.0252220	Pennsylvania Av NW / 10 St NW	1000944	19153	0
WMATA:100761		Washington, DC	778	0	3	38.8889495	-77.0321020	14 St SW / Jefferson Dr SW	1000757	5006	0
WMATA:116345		Washington, DC	1148	0	3	38.8919802	-77.0490090	Constitution Av NW / 22 St NW	1000852	5224	0
