title	subtitle	id	networkName	networkId	color	textColor	latitude	longitude	type	location	bike_count	electric_bike_count	dock_count
17th St / Massachusetts Ave NW	8 bikes and 11 docks	08255063-1f3f-11e7-bf6b-3863bb334450	Capital Bikeshare	12	EE3124	FFFFFF	38.9085680	-77.0385420	station	Washington, DC	8	0	11
16th / R St NW	16 bikes, 4 e-bikes, and 1 dock	0826183f-1f3f-11e7-bf6b-3863bb334450	Capital Bikeshare	12	EE3124	FFFFFF	38.9126520	-77.0362780	station	Washington, DC	16	4	1
Connecticut Ave / R St NW	6 bikes, 3 e-bikes, and 8 docks	a2507ccc-aca1-48b2-a6a3-a3144ad92d21	Capital Bikeshare	12	EE3124	FFFFFF	38.9126440	-77.0456400	station	Washington, DC	6	3	8
12th / L St NW	11 bikes, 3 e-bikes, and 8 docks	082537e4-1f3f-11e7-bf6b-3863bb334450	Capital Bikeshare	12	EE3124	FFFFFF	38.9038190	-77.0284000	station	Washington, DC	11	3	8
14th / R St NW	14 bikes and 3 docks	0824799f-1f3f-11e7-bf6b-3863bb334450	Capital Bikeshare	12	EE3124	FFFFFF	38.9130460	-77.0320080	station	Washington, DC	14	0	3
18th / L St NW	8 bikes and 11 docks	0824a5b0-1f3f-11e7-bf6b-3863bb334450	Capital Bikeshare	12	EE3124	FFFFFF	38.9037415	-77.0424521	station	Washington, DC	8	0	11
18th St / Pennsylvania Ave NW		08250172-1f3f-11e7-bf6b-3863bb334450	Capital Bikeshare	12	EE3124	FFFFFF	38.8996800	-77.0415390	dock	Washington, DC	0	0	0
13th St / New York Ave NW		0824aa39-1f3f-11e7-bf6b-3863bb334450	Capital Bikeshare	12	EE3124	FFFFFF	38.9002830	-77.0298220	dock	Washington, DC	0	0	0
New Hampshire Ave / Ward Pl NW	4 bikes and 13 docks	082492e1-1f3f-11e7-bf6b-3863bb334450	Capital Bikeshare	12	EE3124	FFFFFF	38.9057108	-77.0473176	station	Washington, DC	4	0	13
15th / P St NW	6 bikes and 10 docks	0824791a-1f3f-11e7-bf6b-3863bb334450	Capital Bikeshare	12	EE3124	FFFFFF	38.9098006	-77.0344269	station	Washington, DC	6	0	10
15th / K St NW		08253b2b-1f3f-11e7-bf6b-3863bb334450	Capital Bikeshare	12	EE3124	FFFFFF	38.9020000	-77.0335300	dock	Washington, DC	0	0	0
14th / Q St NW	3 bikes and 14 docks	a7b98322-bdbb-421e-b2e4-1bb42ef9d01f	Capital Bikeshare	12	EE3124	FFFFFF	38.9106740	-77.0318800	station	Washington, DC	3	0	14
19th St / Pennsylvania Ave NW		0824741d-1f3f-11e7-bf6b-3863bb334450	Capital Bikeshare	12	EE3124	FFFFFF	38.9003000	-77.0429000	dock	Washington, DC	0	0	0
15th St / New York Ave NW	2 bikes and 21 docks	0824a43b-1f3f-11e7-bf6b-3863bb334450	Capital Bikeshare	12	EE3124	FFFFFF	38.8990323	-77.0333540	station	Washington, DC	2	0	21
14th St / New York Ave NW		08249aa2-1f3f-11e7-bf6b-3863bb334450	Capital Bikeshare	12	EE3124	FFFFFF	38.8996320	-77.0316860	dock	Washington, DC	0	0	0
New Hampshire Ave / T St NW	16 bikes, 3 e-bikes, and 3 docks	0824c376-1f3f-11e7-bf6b-3863bb334450	Capital Bikeshare	12	EE3124	FFFFFF	38.9155440	-77.0382520	station	Washington, DC	16	3	3
15th / M St NW	2 bikes and 14 docks	7fcbf92d-a257-4973-828b-181d5602eee5	Capital Bikeshare	12	EE3124	FFFFFF	38.9054240	-77.0346740	station	Washington, DC	2	0	14
20th / L St NW	8 bikes, 1 e-bike, and 9 docks	08252c4a-1f3f-11e7-bf6b-3863bb334450	Capital Bikeshare	12	EE3124	FFFFFF	38.9035840	-77.0447890	station	Washington, DC	8	1	9
14th St / Rhode Island Ave NW	25 bikes, 6 e-bikes, and 6 docks	08247a21-1f3f-11e7-bf6b-3863bb334450	Capital Bikeshare	12	EE3124	FFFFFF	38.9086000	-77.0323000	station	Washington, DC	25	6	6
18th / New Hampshire Ave NW	11 bikes and 7 docks	101824b5-2dd0-464c-bc7e-30481e00e6d7	Capital Bikeshare	12	EE3124	FFFFFF	38.9112680	-77.0418290	station	Washington, DC	11	0	7
Rhode Island / Connecticut Ave NW	6 bikes and 17 docks	0824f644-1f3f-11e7-bf6b-3863bb334450	Capital Bikeshare	12	EE3124	FFFFFF	38.9059957	-77.0398021	station	Washington, DC	6	0	17
11th / O St NW	17 bikes and 6 docks	08261d35-1f3f-11e7-bf6b-3863bb334450	Capital Bikeshare	12	EE3124	FFFFFF	38.9084315	-77.0270884	station	Washington, DC	17	0	6
20th / O St NW / Dupont South	15 bikes, 1 e-bike, and 3 docks	0824c8d2-1f3f-11e7-bf6b-3863bb334450	Capital Bikeshare	12	EE3124	FFFFFF	38.9089050	-77.0447800	station	Washington, DC	15	1	3
18th / R St NW	10 bikes and 5 docks	0825fd75-1f3f-11e7-bf6b-3863bb334450	Capital Bikeshare	12	EE3124	FFFFFF	38.9126480	-77.0418340	station	Washington, DC	10	0	5
15th / L St NW		0825fc3a-1f3f-11e7-bf6b-3863bb334450	Capital Bikeshare	12	EE3124	FFFFFF	38.9039670	-77.0346020	dock	Washington, DC	0	0	0
Vermont Ave / I St NW		08263241-1f3f-11e7-bf6b-3863bb334450	Capital Bikeshare	12	EE3124	FFFFFF	38.9011365	-77.0344511	dock	Washington, DC	0	0	0
17th / Corcoran St NW	12 bikes and 2 docks	08249549-1f3f-11e7-bf6b-3863bb334450	Capital Bikeshare	12	EE3124	FFFFFF	38.9121000	-77.0387000	station	Washington, DC	12	0	2
Massachusetts Ave / Dupont Circle NW	18 bikes, 1 e-bike, and 24 docks	0824920a-1f3f-11e7-bf6b-3863bb334450	Capital Bikeshare	12	EE3124	FFFFFF	38.9101000	-77.0444000	station	Washington, DC	18	1	24
Thomas Circle	10 bikes and 19 docks	0824f8a2-1f3f-11e7-bf6b-3863bb334450	Capital Bikeshare	12	EE3124	FFFFFF	38.9059000	-77.0325000	station	Washington, DC	10	0	19
