Station Name	Avg Daily Tapped Entries	Avg Daily NonTapped Entries	Avg Daily Entries	latitude	longitude
Addison Road	1224	441	1665	38.8867225	-76.8944056
Anacostia	2394	1974	4369	38.8625806	-76.9844410
Archives	3670	304	3975	38.8936824	-77.0219151
Arlington Cemetery	894	33	928	38.8846187	-77.0630855
Ashburn	1119	34	1153	39.029784	-77.4744148
Ballston-MU	5167	243	5409	38.8820057	-77.1115141
Benning Road	1302	880	2183	38.8904471	-76.9375326
Bethesda	4328	165	4492	38.9846816	-77.0942447
Braddock Road	1949	126	2075	38.814146	-77.0536699
Branch Ave	2058	428	2486	38.8268521	-76.9120843
Brookland-CUA	3383	764	4147	38.933211	-76.9945344
Capitol Heights	969	497	1465	38.8849913	-76.9134765
Capitol South	4543	114	4657	38.8851435	-77.0060652
Cheverly	442	85	527	38.928167	-76.9158070
Clarendon	2436	81	2516	34.9359346	-100.8905829
Cleveland Park	2041	145	2185	38.93610395	-77.0623728
College Park-U of Md	1595	234	1829	38.980666	-76.9369189
Columbia Heights	6215	1707	7922	45.0460458	-93.2517802
Congress Heights	1308	731	2039	38.8428968	-77.0002546
Court House	3231	86	3316	38.8907825	-77.0856426
Crystal City	4602	174	4776	28.6834097	-99.8274585
Deanwood	689	485	1174	38.9080735	-76.9353421
Downtown Largo	1760	420	2180	38.90041195	-76.8448066
Dulles Airport	1659	191	1850	38.95226625	-77.4534849
Dunn Loring	1286	78	1364	38.8934448	-77.2216481
Dupont Circle	8648	634	9282	38.91242325	-77.0412512
East Falls Church	2132	77	2210	38.8859763	-77.1568243
Eastern Market	3078	442	3520	38.8842486	-76.9958230
Eisenhower Ave	974	66	1040	38.8003449	-77.0711330
Farragut North	9335	437	9771	38.9032961	-77.0397342
Farragut West	8712	347	9059	38.9013497	-77.0404456
Federal Center SW	2132	74	2206	38.8851184	-77.0150823
Federal Triangle	3559	128	3687	38.8934583	-77.0280297
Foggy Bottom-GWU	11515	698	12213	38.9008731	-77.0503500
